title,author,original_price,discounted_price,url,image,summary,title_in_specification,author_in_specification,translator_in_specification,editor_in_specification,publisher_in_specification,isbn_in_specification,edition_in_specification,number_of_pages_in_specification,country_in_specification,language_in_specification
নগরের কবি চলে অভিসারে,রোমেন রায়হান,175.00,140.00,https://www.prothoma.com/product/9466/%E0%A6%A8%E0%A6%97%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%AC%E0%A6%BF-%E0%A6%9A%E0%A6%B2%E0%A7%87-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/6022540c29660_1612862476.jpg, , , , , , , , , , , 
নষ্ট জীবনের কষ্ট,নিশাত ইসলাম,350.00,280.00,https://www.prothoma.com/product/9468/%E0%A6%A8%E0%A6%B7%E0%A7%8D%E0%A6%9F-%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%B7%E0%A7%8D%E0%A6%9F,https://image.prothoma.com/productThumbs/2021/02/6022540cace0d_1612862476.jpg, , , , , , , , , , , 
নিঃসীম নিঃসঙ্গতা,আনোয়ার রানা,150.00,120.00,https://www.prothoma.com/product/9462/%E0%A6%A8%E0%A6%BF%E0%A6%83%E0%A6%B8%E0%A7%80%E0%A6%AE-%E0%A6%A8%E0%A6%BF%E0%A6%83%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%A4%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022540b11363_1612862475.jpg, , , , , , , , , , , 
কিশোর-নবীনদের বঙ্গবন্ধু,মযহারুল ইসলাম,200.00,160.00,https://www.prothoma.com/product/9464/%E0%A6%95%E0%A6%BF%E0%A6%B6%E0%A7%8B%E0%A6%B0-%E0%A6%A8%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%81,https://image.prothoma.com/productThumbs/2021/02/6022540ba9ce5_1612862475.jpg, , , , , , , , , , , 
নিড়ানি ও শোকগুচ্ছ,স. ম. শামসুল আলম,250.00,200.00,https://www.prothoma.com/product/9458/%E0%A6%A8%E0%A6%BF%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%A8%E0%A6%BF-%E0%A6%93-%E0%A6%B6%E0%A7%8B%E0%A6%95%E0%A6%97%E0%A7%81%E0%A6%9A%E0%A7%8D%E0%A6%9B,https://image.prothoma.com/productThumbs/2021/02/60225409e2054_1612862473.jpg, , , , , , , , , , , 
নির্বাচিত গল্প - তমিজ উদ্দীন লোদী,তমিজ উদ্দীন লোদী,325.00,260.00,https://www.prothoma.com/product/9460/%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%BF%E0%A6%A4-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA---%E0%A6%A4%E0%A6%AE%E0%A6%BF%E0%A6%9C-%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A6%E0%A7%80%E0%A6%A8-%E0%A6%B2%E0%A7%8B%E0%A6%A6%E0%A7%80,https://image.prothoma.com/productThumbs/2021/02/6022540a7084f_1612862474.jpg, , , , , , , , , , , 
নেপালের টুকিটাকি,ডা. নাভিরা আফতাবী বিনতে ইসলাম,150.00,120.00,https://www.prothoma.com/product/9454/%E0%A6%A8%E0%A7%87%E0%A6%AA%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%9F%E0%A7%81%E0%A6%95%E0%A6%BF%E0%A6%9F%E0%A6%BE%E0%A6%95%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/60225408bcaa0_1612862472.jpg, , , , , , , , , , , 
নিউজরুম ও আমরা,আহমেদ শরীফ,250.00,200.00,https://www.prothoma.com/product/9456/%E0%A6%A8%E0%A6%BF%E0%A6%89%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%AE-%E0%A6%93-%E0%A6%86%E0%A6%AE%E0%A6%B0%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602254095d98a_1612862473.jpg, , , , , , , , , , , 
নজরুল সাহিত্যে বিপ্লবী চেতনা,পারভীন আক্তার জেমী,400.00,320.00,https://www.prothoma.com/product/9452/%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%AC%E0%A7%80-%E0%A6%9A%E0%A7%87%E0%A6%A4%E0%A6%A8%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602254083ad52_1612862472.jpg, , , , , , , , , , , 
মুক্তিযুদ্ধের উপন্যাসসমগ্র,রাবেয়া খাতুন,700.00,560.00,https://www.prothoma.com/product/9447/%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/6022540713903_1612862471.jpg, , , , , , , , , , , 
