Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অবক্তে ভালোবাসা,ইদি আমিন,TK. 250,TK. 175,https://rokomari.com//book/198386/obokte-valobasa,"",অবক্তে ভালোবাসা, , ,"পলক রায়,ইদি আমিন",অনন্য প্রকাশন,9789849474623,"1st Published,2020",128,বাংলাদেশ,বাংলা
গীত ভুবন,জয়ন্ত রায়,TK. 250,TK. 175,https://rokomari.com//book/198387/the-earth-of-song,"",গীত ভুবন,জয়ন্ত রায়, , ,অনন্য প্রকাশন,9789849449362,"1st Published,2020",80,বাংলাদেশ,বাংলা
আত্মদহন,মাহমুদ হাফিজ,TK. 200,TK. 140,https://rokomari.com//book/198390/atmodohon,"",আত্মদহন,"মাহমুদ হাফিজ,সাদ্দাম হোসাইন", , ,অনন্য প্রকাশন,9789849449354,"1st Published,2020",76,বাংলাদেশ,বাংলা
নিদ্রিত নয়ন,পলক রায়,TK. 150,TK. 105,https://rokomari.com//book/198392/nidrito-noyon,"",নিদ্রিত নয়ন,"পলক রায়,কাজল রায়", , ,অনন্য প্রকাশন,9789849474616,"1st Published,2020",128,বাংলাদেশ,বাংলা
পেন্ডুলাম,মুহাম্মদ সুলতান মাহমুদ  ,TK. 180,TK. 126,https://rokomari.com//book/198394/pendulam,"",পেন্ডুলাম,মুহাম্মদ সুলতান মাহমুদ, , ,অনন্য প্রকাশন,9789849449386,"1st Published,2020",80,বাংলাদেশ,বাংলা
কণ্ঠে বিষাদের সুর,ড. মুহাম্মদ সুলতান মাহমুদ,TK. 280,TK. 196,https://rokomari.com//book/203160/konthe-bishader-sur,"",কণ্ঠে বিষাদের সুর, , ,ড. মুহাম্মদ সুলতান মাহমুদ,অনন্য প্রকাশন,9789849474685,"1st Published,2020",128,বাংলাদেশ,বাংলা
কষ্ট দেবতার নষ্ট পুত্র,জন অভি রোজারিও,TK. 150,TK. 105,https://rokomari.com//book/203271/kosto-debotar-nosto-putro,"",কষ্ট দেবতার নষ্ট পুত্র,জন অভি রোজারিও, , ,অনন্য প্রকাশন,9789849474722,"1st Published,2020",64,বাংলাদেশ,বাংলা
বর্ণমালার কাব্য,দীপঙ্কর চক্রবর্তী,TK. 150,TK. 132,https://rokomari.com//book/196064/bornomalar-kabyo,"",বর্ণমালার কাব্য,দীপঙ্কর চক্রবর্তী, , ,অনন্য প্রকাশন,9789849449478,"1st Published,2020",40,বাংলাদেশ,বাংলা
ফিরবো না আর এই শহরে,মো. শহিদুল ইসলাম ইমরান,TK. 200,TK. 140,https://rokomari.com//book/194158/firbo-na-ar-ei-shohore,"",ফিরবো না আর এই শহরে,মো. শহিদুল ইসলাম ইমরান, , ,অনন্য প্রকাশন,9789849449379,"1st Published,2020",64,বাংলাদেশ,বাংলা
পাহাড়ের কান্না ,ফারুক আহাম্মদ -২,TK. 250,TK. 175,https://rokomari.com//book/193302/paharer-kanna,"",পাহাড়ের কান্না, , ,ফারুক আহাম্মদ -২,অনন্য প্রকাশন,9789849449300,"1st Published,2020",127,বাংলাদেশ,বাংলা
